y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
11612148.81,12192756.25,12802394.07,13442513.77,14114639.46,14820371.43,15561390,16339459.5,17156432.48,18014254.1,18914966.81,19860715.15,20853750.91,21896438.45,22991260.37,24140823.39,25347864.56,26615257.79,27946020.68,29343321.71,30810487.8,32351012.19
2947588.04,3094967.442,3249715.814,3412201.605,3582811.685,3761952.27,3950049.883,4147552.377,4354929.996,4572676.496,4801310.321,5041375.837,5293444.628,5558116.86,5836022.703,6127823.838,6434215.03,6755925.781,7093722.07,7448408.174,7820828.583,8211870.012
1081417.023,1135487.875,1192262.268,1251875.382,1314469.151,1380192.608,1449202.239,1521662.351,1597745.468,1677632.742,1761514.379,1849590.098,1942069.603,2039173.083,2141131.737,2248188.324,2360597.74,2478627.627,2602559.008,2732686.959,2869321.306,3012787.372
191424.7397,200995.9767,211045.7755,221598.0643,232677.9675,244311.8659,256527.4592,269353.8322,282821.5238,296962.6,311810.73,327401.2664,343771.3298,360959.8963,379007.8911,397958.2856,417856.1999,438749.0099,460686.4604,483720.7834,507906.8226,533302.1637
338903.151,355848.3085,373640.724,392322.7602,411938.8982,432535.8431,454162.6352,476870.767,500714.3053,525750.0206,552037.5216,579639.3977,608621.3676,639052.436,671005.0578,704555.3107,739783.0762,776772.23,815610.8415,856391.3836,899210.9528,944171.5004
234876.0732,246619.8769,258950.8707,271898.4143,285493.335,299768.0017,314756.4018,330494.2219,347018.933,364369.8797,382588.3736,401717.7923,421803.6819,442893.866,465038.5593,488290.4873,512705.0117,538340.2622,565257.2754,593520.1391,623196.1461,654355.9534
159361.0212,167329.0723,175695.5259,184480.3022,193704.3173,203389.5331,213559.0098,224236.9603,235448.8083,247221.2487,259582.3112,272561.4267,286189.498,300498.973,315523.9216,331300.1177,347865.1236,365258.3797,383521.2987,402697.3637,422832.2318,443973.8434
1284371.117,1348589.673,1416019.157,1486820.115,1561161.12,1639219.176,1721180.135,1807239.142,1897601.099,1992481.154,2092105.212,2196710.472,2306545.996,2421873.296,2542966.961,2670115.309,2803621.074,2943802.128,3090992.234,3245541.846,3407818.938,3578209.885
1870074.993,1963578.743,2061757.68,2164845.564,2273087.842,2386742.234,2506079.346,2631383.313,2762952.479,2901100.103,3046155.108,3198462.864,3358386.007,3526305.307,3702620.572,3887751.601,4082139.181,4286246.14,4500558.447,4725586.37,4961865.688,5209958.972
195204.5018,204964.7269,215212.9633,225973.6114,237272.292,249135.9066,261592.7019,274672.337,288405.9539,302826.2516,317967.5642,333865.9424,350559.2395,368087.2015,386491.5615,405816.1396,426106.9466,447412.2939,469782.9086,493272.0541,517935.6568,543832.4396
2155.003369,2262.753538,2375.891215,2494.685776,2619.420064,2750.391068,2887.910621,3032.306152,3183.92146,3343.117533,3510.273409,3685.78708,3870.076434,4063.580255,4266.759268,4480.097232,4704.102093,4939.307198,5186.272558,5445.586186,5717.865495,6003.75877
197245.1266,207107.3829,217462.7521,228335.8897,239752.6842,251740.3184,264327.3343,277543.701,291420.886,305991.9303,321291.5269,337356.1032,354223.9084,371935.1038,390531.859,410058.4519,430561.3745,452089.4432,474693.9154,498428.6112,523350.0417,549517.5438
334217.4193,350928.2902,368474.7048,386898.44,406243.362,426555.5301,447883.3066,470277.4719,493791.3455,518480.9128,544404.9584,571625.2064,600206.4667,630216.79,661727.6295,694814.011,729554.7115,766032.4471,804334.0695,844550.7729,886778.3116,931117.2272
432171.153,453779.7106,476468.6961,500292.1309,525306.7375,551572.0744,579150.6781,608108.212,638513.6226,670439.3037,703961.2689,739159.3323,776117.299,814923.1639,855669.3221,898452.7882,943375.4276,990544.199,1040071.409,1092074.979,1146678.728,1204012.665
882430.8546,926552.3973,972880.0172,1021524.018,1072600.219,1126230.23,1182541.741,1241668.828,1303752.27,1368939.883,1437386.878,1509256.221,1584719.032,1663954.984,1747152.733,1834510.37,1926235.888,2022547.683,2123675.067,2229858.82,2341351.761,2458419.349
784817.8412,824058.7332,865261.6699,908524.7534,953950.991,1001648.541,1051730.968,1104317.516,1159533.392,1217510.061,1278385.564,1342304.843,1409420.085,1479891.089,1553885.644,1631579.926,1713158.922,1798816.868,1888757.711,1983195.597,2082355.377,2186473.146
4769313.74,5007779.427,5258168.398,5521076.818,5797130.659,6086987.192,6391336.551,6710903.379,7046448.548,7398770.975,7768709.524,8157145,8565002.25,8993252.363,9442914.981,9915060.73,10410813.77,10931354.45,11477922.18,12051818.29,12654409.2,13287129.66
177661.7168,186544.8027,195872.0428,205665.645,215948.9272,226746.3736,238083.6922,249987.8768,262487.2707,275611.6342,289392.2159,303861.8267,319054.9181,335007.664,351758.0472,369345.9495,387813.247,407203.9094,427564.1048,448942.3101,471389.4256,494958.8968
611340.4377,641907.4596,674002.8326,707702.9742,743088.123,780242.5291,819254.6556,860217.3883,903228.2577,948389.6706,995809.1542,1045599.612,1097879.592,1152773.572,1210412.251,1270932.863,1334479.506,1401203.482,1471263.656,1544826.839,1622068.181,1703171.59
14885.87,15630.1635,16411.67168,17232.25526,18093.86802,18998.56142,19948.48949,20945.91397,21993.20967,23092.87015,24247.51366,25459.88934,26732.88381,28069.528,29473.0044,30946.65462,32493.98735,34118.68672,35824.62105,37615.8521,39496.64471,41471.47695
1061004.996,1114055.246,1169758.008,1228245.908,1289658.204,1354141.114,1421848.17,1492940.578,1567587.607,1645966.988,1728265.337,1814678.604,1905412.534,2000683.161,2100717.319,2205753.185,2316040.844,2431842.886,2553435.03,2681106.782,2815162.121,2955920.227
205540.5394,215817.5663,226608.4446,237938.8669,249835.8102,262327.6007,275443.9808,289216.1798,303676.9888,318860.8382,334803.8801,351544.0741,369121.2779,387577.3417,406956.2088,427304.0193,448669.2202,471102.6812,494657.8153,519390.7061,545360.2414,572628.2534
1275867.49,1339660.864,1406643.907,1476976.103,1550824.908,1628366.153,1709784.461,1795273.684,1885037.368,1979289.237,2078253.698,2182166.383,2291274.703,2405838.438,2526130.36,2652436.878,2785058.721,2924311.657,3070527.24,3224053.602,3385256.282,3554519.097
1787.934051,1877.330754,1971.197291,2069.757156,2173.245014,2281.907264,2396.002628,2515.802759,2641.592897,2773.672542,2912.356169,3057.973977,3210.872676,3371.41631,3539.987126,3716.986482,3902.835806,4097.977596,4302.876476,4518.0203,4743.921315,4981.117381
16364.85091,17183.09345,18042.24813,18944.36053,19891.57856,20886.15749,21930.46536,23026.98863,24178.33806,25387.25496,26656.61771,27989.4486,29388.92103,30858.36708,32401.28543,34021.3497,35722.41719,37508.53805,39383.96495,41353.1632,43420.82136,45591.86242
109382.0371,114851.1389,120593.6959,126623.3807,132954.5497,139602.2772,146582.3911,153911.5106,161607.0862,169687.4405,178171.8125,187080.4031,196434.4233,206256.1444,216568.9516,227397.3992,238767.2692,250705.6327,263240.9143,276402.96,290223.108,304734.2634
96674.91884,101508.6648,106584.098,111913.3029,117508.9681,123384.4165,129553.6373,136031.3192,142832.8851,149974.5294,157473.2558,165346.9186,173614.2646,182294.9778,191409.7267,200980.213,211029.2237,221580.6848,232659.7191,244292.705,256507.3403,269332.7073
7165683.682,7523967.866,7900166.259,8295174.572,8709933.3,9145429.965,9602701.464,10082836.54,10586978.36,11116327.28,11672143.65,12255750.83,12868538.37,13511965.29,14187563.55,14896941.73,15641788.82,16423878.26,17245072.17,18107325.78,19012692.07,19963326.67
1279730.149,1343716.657,1410902.49,1481447.614,1555519.995,1633295.994,1714960.794,1800708.834,1890744.276,1985281.489,2084545.564,2188772.842,2298211.484,2413122.058,2533778.161,2660467.069,2793490.423,2933164.944,3079823.191,3233814.351,3395505.068,3565280.322
1221172.453,1282231.076,1346342.63,1413659.761,1484342.749,1558559.887,1636487.881,1718312.275,1804227.889,1894439.284,1989161.248,2088619.31,2193050.276,2302702.789,2417837.929,2538729.825,2665666.317,2798949.632,2938897.114,3085841.97,3240134.068,3402140.772
1298008.893,1362909.337,1431054.804,1502607.545,1577737.922,1656624.818,1739456.059,1826428.862,1917750.305,2013637.82,2114319.711,2220035.697,2331037.481,2447589.355,2569968.823,2698467.264,2833390.628,2975060.159,3123813.167,3280003.825,3444004.017,3616204.217
237005.1819,248855.441,261298.213,274363.1237,288081.2798,302485.3438,317609.611,333490.0916,350164.5962,367672.826,386056.4673,405359.2906,425627.2552,446908.6179,469254.0488,492716.7512,517352.5888,543220.2182,570381.2292,598900.2906,628845.3051,660287.5704
321436.0646,337507.8678,354383.2612,372102.4243,390707.5455,410242.9227,430755.0689,452292.8223,474907.4634,498652.8366,523585.4784,549764.7524,577252.99,606115.6395,636421.4215,668242.4925,701654.6172,736737.348,773574.2154,812252.9262,852865.5725,895508.8511
8247862.31,8660255.426,9093268.197,9547931.607,10025328.19,10526594.6,11052924.33,11605570.54,12185849.07,12795141.52,13434898.6,14106643.53,14811975.71,15552574.49,16330203.22,17146713.38,18004049.04,18904251.5,19849464.07,20841937.28,21884034.14,22978235.85
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53464.60186,56137.83196,58944.72356,61891.95973,64986.55772,68235.88561,71647.67989,75230.06388,78991.56707,82941.14543,87088.2027,91442.61283,96014.74348,100815.4807,105856.2547,111149.0674,116706.5208,122541.8468,128668.9392,135102.3861,141857.5054,148950.3807
896888.4453,941732.8675,988819.5109,1038260.486,1090173.511,1144682.186,1201916.296,1262012.11,1325112.716,1391368.352,1460936.769,1533983.608,1610682.788,1691216.928,1775777.774,1864566.663,1957794.996,2055684.746,2158468.983,2266392.432,2379712.054,2498697.656
1022991.072,1074140.625,1127847.656,1184240.039,1243452.041,1305624.643,1370905.875,1439451.169,1511423.728,1586994.914,1666344.66,1749661.893,1837144.987,1929002.237,2025452.349,2126724.966,2233061.214,2344714.275,2461949.989,2585047.488,2714299.863,2850014.856
43370.03126,45538.53283,47815.45947,50206.23244,52716.54406,55352.37127,58119.98983,61025.98932,64077.28879,67281.15322,70645.21089,74177.47143,77886.345,81780.66225,85869.69536,90163.18013,94671.33914,99404.9061,104375.1514,109593.909,115073.6044,120827.2846
3195.110003,3354.865503,3522.608778,3698.739217,3883.676178,4077.859987,4281.752986,4495.840636,4720.632668,4956.664301,5204.497516,5464.722392,5737.958511,6024.856437,6326.099259,6642.404222,6974.524433,7323.250655,7689.413187,8073.883847,8477.578039,8901.456941
3252903.22,3415548.381,3586325.8,3765642.09,3953924.195,4151620.405,4359201.425,4577161.496,4806019.571,5046320.55,5298636.577,5563568.406,5841746.826,6133834.168,6440525.876,6762552.17,7100679.778,7455713.767,7828499.456,8219924.428,8630920.65,9062466.682
4903251.73,5148414.316,5405835.032,5676126.784,5959933.123,6257929.779,6570826.268,6899367.582,7244335.961,7606552.759,7986880.397,8386224.416,8805535.637,9245812.419,9708103.04,10193508.19,10703183.6,11238342.78,11800259.92,12390272.92,13009786.56,13660275.89
13946688.86,14644023.3,15376224.47,16145035.69,16952287.48,17799901.85,18689896.94,19624391.79,20605611.38,21635891.95,22717686.55,23853570.87,25046249.42,26298561.89,27613489.98,28994164.48,30443872.71,31966066.34,33564369.66,35242588.14,37004717.55,38854953.43
4114322.101,4320038.206,4536040.116,4762842.122,5000984.228,5251033.439,5513585.111,5789264.367,6078727.585,6382663.964,6701797.163,7036887.021,7388731.372,7758167.94,8146076.337,8553380.154,8981049.162,9430101.62,9901606.701,10396687.04,10916521.39,11462347.46
1076135.57,1129942.349,1186439.466,1245761.439,1308049.511,1373451.987,1442124.586,1514230.815,1589942.356,1669439.474,1752911.448,1840557.02,1932584.871,2029214.115,2130674.82,2237208.561,2349068.99,2466522.439,2589848.561,2719340.989,2855308.039,2998073.44
129829.0349,136320.4866,143136.511,150293.3365,157808.0033,165698.4035,173983.3237,182682.4899,191816.6144,201407.4451,211477.8173,222051.7082,233154.2936,244812.0083,257052.6087,269905.2392,283400.5011,297570.5262,312449.0525,328071.5051,344475.0804,361698.8344
389486.9985,408961.3484,429409.4158,450879.8866,473423.8809,497095.075,521949.8287,548047.3201,575449.6861,604222.1705,634433.279,666154.9429,699462.6901,734435.8246,771157.6158,809715.4966,850201.2714,892711.335,937346.9017,984214.2468,1033424.959,1085096.207
271387.1118,284956.4674,299204.2908,314164.5053,329872.7306,346366.3671,363684.6855,381868.9197,400962.3657,421010.484,442061.0082,464164.0586,487372.2616,511740.8746,537327.9184,564194.3143,592404.03,622024.2315,653125.4431,685781.7152,720070.801,756074.3411
1002776.385,1052915.204,1105560.964,1160839.012,1218880.963,1279825.011,1343816.262,1411007.075,1481557.428,1555635.3,1633417.065,1715087.918,1800842.314,1890884.43,1985428.651,2084700.084,2188935.088,2298381.842,2413300.934,2533965.981,2660664.28,2793697.494
462963.403,486111.5732,510417.1518,535938.0094,562734.9099,590871.6554,620415.2381,651436,684007.8001,718208.1901,754118.5996,791824.5295,831415.756,872986.5438,916635.871,962467.6646,1010591.048,1061120.6,1114176.63,1169885.462,1228379.735,1289798.722
155119.2466,162875.2089,171018.9693,179569.9178,188548.4137,197975.8344,207874.6261,218268.3574,229181.7753,240640.864,252672.9072,265306.5526,278571.8802,292500.4742,307125.4979,322481.7728,338605.8615,355536.1546,373312.9623,391978.6104,411577.5409,432156.418
71510.30711,75085.82246,78840.11358,82782.11926,86921.22523,91267.28649,95830.65081,100622.1834,105653.2925,110935.9571,116482.755,122306.8928,128422.2374,134843.3493,141585.5167,148664.7926,156098.0322,163902.9338,172098.0805,180702.9845,189738.1337,199225.0404
294334.6764,309051.4102,324503.9807,340729.1797,357765.6387,375653.9206,394436.6167,414158.4475,434866.3699,456609.6884,479440.1728,503412.1814,528582.7905,555011.93,582762.5265,611900.6529,642495.6855,674620.4698,708351.4933,743769.0679,780957.5213,820005.3974
1933.542265,2030.219379,2131.730347,2238.316865,2350.232708,2467.744344,2591.131561,2720.688139,2856.722546,2999.558673,3149.536607,3307.013437,3472.364109,3645.982314,3828.28143,4019.695501,4220.680276,4431.71429,4653.300005,4885.965005,5130.263255,5386.776418
14395.90967,15115.70515,15871.49041,16665.06493,17498.31817,18373.23408,19291.89579,20256.49057,21269.3151,22332.78086,23449.4199,24621.8909,25852.98544,27145.63471,28502.91645,29928.06227,31424.46538,32995.68865,34645.47309,36377.74674,38196.63408,40106.46578
