y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030
44509.441,46734.91305,49071.6587,51525.24164,54101.50372,56806.57891,59646.90785,62629.25324,65760.71591,69048.7517,72501.18929,76126.24875,79932.56119,83929.18925,88125.64871,92531.93115,97158.5277,102016.4541,107117.2768,112473.1406,118096.7977,124001.6375
25719.60635,27005.58667,28355.866,29773.6593,31262.34226,32825.45938,34466.73235,36190.06896,37999.57241,39899.55103,41894.52858,43989.25501,46188.71776,48498.15365,50923.06134,53469.2144,56142.67512,58949.80888,61897.29932,64992.16429,68241.7725,71653.86113
156983.3784,164832.5473,173074.1747,181727.8834,190814.2776,200354.9914,210372.741,220891.3781,231935.947,243532.7443,255709.3815,268494.8506,281919.5931,296015.5728,310816.3514,326357.169,342675.0275,359808.7788,377799.2178,396689.1787,416523.6376,437349.8195
64538.81029,67765.7508,71154.03834,74711.74026,78447.32727,82369.69363,86488.17831,90812.58723,95353.21659,100120.8774,105126.9213,110383.2674,115902.4307,121697.5523,127782.4299,134171.5514,140880.1289,147924.1354,155320.3422,163086.3593,171240.6772,179802.7111
87650.26424,92032.77745,96634.41633,101466.1371,106539.444,111866.4162,117459.737,123332.7239,129499.3601,135974.3281,142773.0445,149911.6967,157407.2815,165277.6456,173541.5279,182218.6043,191329.5345,200896.0112,210940.8118,221487.8523,232562.245,244190.3572
46155.99984,48463.79983,50886.98982,53431.33931,56102.90627,58908.05159,61853.45417,64946.12688,68193.43322,71603.10488,75183.26013,78942.42313,82889.54429,87034.0215,91385.72258,95955.00871,100752.7591,105790.3971,111079.917,116633.9128,122465.6084,128588.8889
8614.56384,9045.292032,9497.556634,9972.434465,10471.05619,10994.609,11544.33945,12121.55642,12727.63424,13364.01595,14032.21675,14733.82759,15470.51897,16244.04492,17056.24716,17909.05952,18804.5125,19744.73812,20731.97503,21768.57378,22857.00247,23999.85259
773977.9234,812676.8195,853310.6605,895976.1936,940775.0032,987813.7534,1037204.441,1089064.663,1143517.896,1200693.791,1260728.481,1323764.905,1389953.15,1459450.807,1532423.348,1609044.515,1689496.741,1773971.578,1862670.157,1955803.665,2053593.848,2156273.54
1800216.073,1890226.877,1984738.221,2083975.132,2188173.889,2297582.583,2412461.712,2533084.798,2659739.038,2792725.99,2932362.289,3078980.403,3232929.424,3394575.895,3564304.69,3742519.924,3929645.92,4126128.216,4332434.627,4549056.358,4776509.176,5015334.635
870809.1963,914349.6561,960067.1389,1008070.496,1058474.021,1111397.722,1166967.608,1225315.988,1286581.788,1350910.877,1418456.421,1489379.242,1563848.204,1642040.614,1724142.645,1810349.777,1900867.266,1995910.629,2095706.161,2200491.469,2310516.042,2426041.844
809437.395,849909.2648,892404.728,937024.9644,983876.2126,1033070.023,1084723.524,1138959.701,1195907.686,1255703.07,1318488.223,1384412.635,1453633.266,1526314.93,1602630.676,1682762.21,1766900.32,1855245.336,1948007.603,2045407.983,2147678.383,2255062.302
614760.7417,645498.7787,677773.7177,711662.4036,747245.5237,784607.7999,823838.1899,865030.0994,908281.6044,953695.6846,1001380.469,1051449.492,1104021.967,1159223.065,1217184.219,1278043.429,1341945.601,1409042.881,1479495.025,1553469.776,1631143.265,1712700.428
5044.8,5297.04,5561.892,5839.9866,6131.98593,6438.585227,6760.514488,7098.540212,7453.467223,7826.140584,8217.447613,8628.319994,9059.735994,9512.722793,9988.358933,10487.77688,11012.16572,11562.77401,12140.91271,12747.95835,13385.35626,14054.62408
47029.86,49381.353,51850.42065,54442.94168,57165.08877,60023.3432,63024.51037,66175.73588,69484.52268,72958.74881,76606.68625,80437.02056,84458.87159,88681.81517,93115.90593,97771.70123,102660.2863,107793.3006,113182.9656,118842.1139,124784.2196,131023.4306
0.4,0.42,0.441,0.46305,0.4862025,0.510512625,0.536038256,0.562840169,0.590982178,0.620531286,0.651557851,0.684135743,0.71834253,0.754259657,0.79197264,0.831571272,0.873149835,0.916807327,0.962647693,1.010780078,1.061319082,1.114385036
1618954.465,1699902.188,1784897.298,1874142.163,1967849.271,2066241.734,2169553.821,2278031.512,2391933.088,2511529.742,2637106.229,2768961.541,2907409.618,3052780.099,3205419.104,3365690.059,3533974.562,3710673.29,3896206.954,4091017.302,4295568.167,4510346.576
99225.34555,104186.6128,109395.9435,114865.7406,120609.0277,126639.4791,132971.453,139620.0257,146601.027,153931.0783,161627.6322,169709.0138,178194.4645,187104.1877,196459.3971,206282.367,216596.4853,227426.3096,238797.6251,250737.5063,263274.3816,276438.1007
2818.998791,2959.94873,3107.946167,3263.343475,3426.510649,3597.836181,3777.72799,3966.61439,4164.945109,4373.192365,4591.851983,4821.444582,5062.516811,5315.642652,5581.424784,5860.496023,6153.520825,6461.196866,6784.256709,7123.469545,7479.643022,7853.625173
6972767.463,7321405.837,7687476.128,8071849.935,8475442.432,8899214.553,9344175.281,9811384.045,10301953.25,10817050.91,11357903.46,11925798.63,12522088.56,13148192.99,13805602.64,14495882.77,15220676.91,15981710.75,16780796.29,17619836.1,18500827.91,19425869.3
1524893.513,1601138.189,1681195.098,1765254.853,1853517.596,1946193.476,2043503.149,2145678.307,2252962.222,2365610.333,2483890.85,2608085.392,2738489.662,2875414.145,3019184.852,3170144.095,3328651.3,3495083.865,3669838.058,3853329.961,4045996.459,4248296.282
101381.1104,106450.1659,111772.6742,117361.3079,123229.3733,129390.842,135860.3841,142653.4033,149786.0735,157275.3771,165139.146,173396.1033,182065.9085,191169.2039,200727.6641,210764.0473,221302.2496,232367.3621,243985.7302,256185.0167,268994.2676,282443.9809
153264.3136,160927.5293,168973.9058,177422.6011,186293.7311,195608.4177,205388.8385,215658.2805,226441.1945,237763.2542,249651.4169,262133.9878,275240.6872,289002.7215,303452.8576,318625.5005,334556.7755,351284.6143,368848.845,387291.2872,406655.8516,426988.6442
134793.6395,141533.3215,148609.9875,156040.4869,163842.5113,172034.6368,180636.3687,189668.1871,199151.5965,209109.1763,219564.6351,230542.8669,242070.0102,254173.5107,266882.1862,280226.2956,294237.6103,308949.4908,324396.9654,340616.8137,357647.6543,375530.0371
198298.9369,208213.8837,218624.5779,229555.8068,241033.5971,253085.277,265739.5408,279026.5179,292977.8438,307626.7359,323008.0727,339158.4764,356116.4002,373922.2202,392618.3312,412249.2478,432861.7102,454504.7957,477230.0355,501091.5372,526146.1141,552453.4198
9255.86,9718.653,10204.58565,10714.81493,11250.55568,11813.08346,12403.73764,13023.92452,13675.12074,14358.87678,15076.82062,15830.66165,16622.19473,17453.30447,18325.96969,19242.26818,20204.38159,21214.60067,22275.3307,23389.09724,24558.5521,25786.4797
246606.41,258936.7305,271883.567,285477.7454,299751.6326,314739.2143,330476.175,346999.9837,364349.9829,382567.4821,401695.8562,421780.649,442869.6814,465013.1655,488263.8238,512677.015,538310.8657,565226.409,593487.7295,623162.1159,654320.2217,687036.2328
271.4,284.97,299.2185,314.179425,329.8883963,346.3828161,363.7019569,381.8870547,400.9814074,421.0304778,442.0820017,464.1861018,487.3954069,511.7651772,537.3534361,564.2211079,592.4321633,622.0537715,653.15646,685.814283,720.1049972,756.110247
1515.18,1590.939,1670.48595,1754.010248,1841.71076,1933.796298,2030.486113,2132.010418,2238.610939,2350.541486,2468.068561,2591.471989,2721.045588,2857.097867,2999.952761,3149.950399,3307.447919,3472.820315,3646.461331,3828.784397,4020.223617,4221.234798
122321.01,128437.0605,134858.9135,141601.8592,148681.9522,156116.0498,163921.8523,172117.9449,180723.8421,189760.0342,199248.0359,209210.4377,219670.9596,230654.5076,242187.233,254296.5946,267011.4244,280361.9956,294380.0954,309099.1001,324554.0551,340781.7579
2767104.585,2905459.814,3050732.805,3203269.445,3363432.918,3531604.564,3708184.792,3893594.031,4088273.733,4292687.419,4507321.79,4732687.88,4969322.274,5217788.388,5478677.807,5752611.697,6040242.282,6342254.396,6659367.116,6992335.472,7341952.246,7709049.858
202196.1494,212305.9569,222921.2547,234067.3175,245770.6834,258059.2175,270962.1784,284510.2873,298735.8017,313672.5918,329356.2214,345824.0324,363115.2341,381270.9958,400334.5455,420351.2728,441368.8365,463437.2783,486609.1422,510939.5993,536486.5793,563310.9082
9408821.524,9879262.601,10373225.73,10891887.02,11436481.37,12008305.44,12608720.71,13239156.74,13901114.58,14596170.31,15325978.83,16092277.77,16896891.66,17741736.24,18628823.05,19560264.2,20538277.41,21565191.28,22643450.85,23775623.39,24964404.56,26212624.79
160649,168681.45,177115.5225,185971.2986,195269.8636,205033.3567,215285.0246,226049.2758,237351.7396,249219.3266,261680.2929,274764.3075,288502.5229,302927.6491,318074.0315,333977.7331,350676.6197,368210.4507,386620.9733,405952.0219,426249.623,447562.1042
6138019.181,6444920.14,6767166.147,7105524.454,7460800.677,7833840.711,8225532.746,8636809.384,9068649.853,9522082.345,9998186.463,10498095.79,11023000.58,11574150.6,12152858.13,12760501.04,13398526.09,14068452.4,14771875.02,15510468.77,16285992.21,17100291.82
317121.0063,332977.0566,349625.9095,367107.2049,385462.5652,404735.6935,424972.4781,446221.102,468532.1571,491958.765,516556.7032,542384.5384,569503.7653,597978.9536,627877.9013,659271.7963,692235.3861,726847.1555,763189.5132,801348.9889,841416.4383,883487.2603
1167909.935,1226305.432,1287620.703,1352001.738,1419601.825,1490581.917,1565111.012,1643366.563,1725534.891,1811811.636,1902402.218,1997522.328,2097398.445,2202268.367,2312381.785,2428000.875,2549400.918,2676870.964,2810714.513,2951250.238,3098812.75,3253753.388
18201151.58,19111209.16,20066769.62,21070108.1,22123613.51,23229794.18,24391283.89,25610848.09,26891390.49,28235960.02,29647758.02,31130145.92,32686653.21,34320985.87,36037035.17,37838886.93,39730831.27,41717372.84,43803241.48,45993403.55,48293073.73,50707727.41
212448.013,223070.4137,234223.9344,245935.1311,258231.8876,271143.482,284700.6561,298935.6889,313882.4734,329576.597,346055.4269,363358.1982,381526.1081,400602.4136,420632.5342,441664.1609,463747.369,486934.7374,511281.4743,536845.548,563687.8254,591872.2167
3709773.338,3895262.005,4090025.105,4294526.36,4509252.678,4734715.312,4971451.078,5220023.631,5481024.813,5755076.054,6042829.856,6344971.349,6662219.917,6995330.912,7345097.458,7712352.331,8097969.948,8502868.445,8928011.867,9374412.461,9843133.084,10335289.74
351700.0201,369285.0211,387749.2722,407136.7358,427493.5726,448868.2512,471311.6638,494877.247,519621.1093,545602.1648,572882.273,601526.3867,631602.706,663182.8413,696341.9834,731159.0826,767717.0367,806102.8885,846408.0329,888728.4346,933164.8563,979823.0991
6192295.723,6501910.509,6827006.034,7168356.336,7526774.153,7903112.86,8298268.503,8713181.928,9148841.025,9606283.076,10086597.23,10590927.09,11120473.45,11676497.12,12260321.97,12873338.07,13517004.98,14192855.23,14902497.99,15647622.89,16430004.03,17251504.23
1505814.402,1581105.122,1660160.378,1743168.397,1830326.817,1921843.158,2017935.316,2118832.082,2224773.686,2336012.37,2452812.989,2575453.638,2704226.32,2839437.636,2981409.518,3130479.994,3287003.993,3451354.193,3623921.903,3805117.998,3995373.898,4195142.593
2288816.568,2403257.396,2523420.266,2649591.28,2782070.844,2921174.386,3067233.105,3220594.76,3381624.498,3550705.723,3728241.009,3914653.06,4110385.713,4315904.998,4531700.248,4758285.261,4996199.524,5246009.5,5508309.975,5783725.474,6072911.747,6376557.335
573067.7533,601721.141,631807.198,663397.5579,696567.4358,731395.8076,767965.598,806363.8779,846682.0718,889016.1754,933466.9841,980140.3333,1029147.35,1080604.717,1134634.953,1191366.701,1250935.036,1313481.788,1379155.877,1448113.671,1520519.355,1596545.322
2121618.93,2227699.877,2339084.87,2456039.114,2578841.07,2707783.123,2843172.279,2985330.893,3134597.438,3291327.31,3455893.675,3628688.359,3810122.777,4000628.916,4200660.362,4410693.38,4631228.049,4862789.451,5105928.924,5361225.37,5629286.638,5910750.97
3467871.342,3641264.909,3823328.154,4014494.562,4215219.29,4425980.254,4647279.267,4879643.231,5123625.392,5379806.662,5648796.995,5931236.845,6227798.687,6539188.621,6866148.052,7209455.455,7569928.227,7948424.639,8345845.871,8763138.164,9201295.073,9661359.826
1421967.687,1493066.072,1567719.375,1646105.344,1728410.611,1814831.142,1905572.699,2000851.334,2100893.9,2205938.595,2316235.525,2432047.301,2553649.666,2681332.15,2815398.757,2956168.695,3103977.13,3259175.986,3422134.786,3593241.525,3772903.601,3961548.781
201667.7867,211751.1761,222338.7349,233455.6716,245128.4552,257384.8779,270254.1218,283766.8279,297955.1693,312852.9278,328495.5742,344920.3529,362166.3705,380274.6891,399288.4235,419252.8447,440215.4869,462226.2613,485337.5743,509604.453,535084.6757,561838.9095
2706973.689,2842322.373,2984438.492,3133660.416,3290343.437,3454860.609,3627603.64,3808983.822,3999433.013,4199404.663,4409374.896,4629843.641,4861335.823,5104402.614,5359622.745,5627603.882,5908984.077,6204433.28,6514654.944,6840387.692,7182407.076,7541527.43
395339.178,415106.1369,435861.4437,457654.5159,480537.2417,504564.1038,529792.3089,556281.9244,584096.0206,613300.8216,643965.8627,676164.1559,709972.3637,745470.9818,782744.5309,821881.7575,862975.8454,906124.6376,951430.8695,999002.413,1048952.534,1101400.16
21479370,22553338.5,23681005.43,24865055.7,26108308.48,27413723.91,28784410.1,30223630.61,31734812.14,33321552.74,34987630.38,36737011.9,38573862.49,40502555.62,42527683.4,44654067.57,46886770.95,49231109.49,51692664.97,54277298.22,56991163.13,59840721.29
381737.1551,400824.0128,420865.2134,441908.4741,464003.8978,487204.0927,511564.2974,537142.5122,563999.6378,592199.6197,621809.6007,652900.0807,685545.0848,719822.339,755813.456,793604.1288,833284.3352,874948.552,918695.9796,964630.7785,1012862.317,1063505.433
270471.0006,283994.5506,298194.2781,313103.992,328759.1916,345197.1512,362457.0088,380579.8592,399608.8522,419589.2948,440568.7595,462597.1975,485727.0574,510013.4102,535514.0807,562289.7848,590404.274,619924.4877,650920.7121,683466.7477,717640.0851,753522.0893
20973.99802,22022.69792,23123.83282,24280.02446,25494.02568,26768.72696,28107.16331,29512.52148,30988.14755,32537.55493,34164.43268,35872.65431,37666.28703,39549.60138,41527.08145,43603.43552,45783.60729,48072.78766,50476.42704,53000.24839,55650.26081,58432.77385
122874.4961,129018.2209,135469.132,142242.5886,149354.718,156822.4539,164663.5766,172896.7554,181541.5932,190618.6728,200149.6065,210157.0868,220664.9411,231698.1882,243283.0976,255447.2525,268219.6151,281630.5959,295712.1257,310497.732,326022.6186,342323.7495
226703.3483,238038.5157,249940.4415,262437.4636,275559.3368,289337.3036,303804.1688,318994.3773,334944.0961,351691.3009,369275.866,387739.6593,407126.6422,427482.9743,448857.1231,471299.9792,494864.9782,519608.2271,545588.6384,572868.0704,601511.4739,631587.0476
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
